"Category","Annual Mean","5-yr smooth"
"1901",13.58,13.28
"1902",12.66,13
"1903",12.71,12.73
"1904",12.12,12.49
"1905",12.37,12.28
"1906",12.99,12.13
"1907",11.87,12.03
"1908",11.62,12
"1909",12.3,12.03
"1910",12.34,12.11
"1911",10.75,12.23
"1912",12.9,12.4
"1913",12.81,12.6
"1914",13.04,12.8
"1915",13.39,12.96
"1916",13.03,13.07
"1917",13.74,13.09
"1918",12.8,13.03
"1919",12.74,12.92
"1920",11.36,12.79
"1921",11.92,12.7
"1922",13.57,12.66
"1923",13.39,12.72
"1924",13.03,12.82
"1925",13.72,12.93
"1926",12.96,12.99
"1927",12.77,12.97
"1928",11.55,12.83
"1929",12.22,12.6
"1930",13.58,12.37
"1931",12,12.19
"1932",12.26,12.13
"1933",11.8,12.25
"1934",12.37,12.53
"1935",13.63,12.88
"1936",13.03,13.23
"1937",13.71,13.51
"1938",13.56,13.63
"1939",13.2,13.6
"1940",13.64,13.45
"1941",13.39,13.24
"1942",12.5,13.04
"1943",12.9,12.89
"1944",13.37,12.83
"1945",12.55,12.84
"1946",12.68,12.89
"1947",13.93,12.96
"1948",12.98,13.02
"1949",12.52,13.06
"1950",12.58,13.08
"1951",13.08,13.09
"1952",13.69,13.09
"1953",12.6,13.09
"1954",13.27,13.1
"1955",14.35,13.11
"1956",11.89,13.13
"1957",13.37,13.15
"1958",13.19,13.16
"1959",11.96,13.16
"1960",13.48,13.15
"1961",13.97,13.13
"1962",14.21,13.12
"1963",12.78,13.12
"1964",12.06,13.13
"1965",12.43,13.14
"1966",15.04,13.15
"1967",12.03,13.15
"1968",12.94,13.1
"1969",12.14,13.01
"1970",14.19,12.87
"1971",13.46,12.71
"1972",11.86,12.57
"1973",12.35,12.49
"1974",12.31,12.51
"1975",13.14,12.65
"1976",12.41,12.87
"1977",12.85,13.13
"1978",13.3,13.35
"1979",14.29,13.48
"1980",13.68,13.48
"1981",13.77,13.37
"1982",11.99,13.19
"1983",12.75,12.99
"1984",12.71,12.84
"1985",13,12.78
"1986",13.2,12.82
"1987",13.09,12.91
"1988",12.36,13
"1989",14.26,13.05
"1990",13.38,13.02
"1991",13.01,12.89
"1992",11.28,12.73
"1993",11.63,12.59
"1994",12.59,12.54
"1995",13.56,12.63
"1996",13.31,12.91
"1997",13.03,13.29
"1998",14.13,13.7
"1999",14.37,14.06
"2000",13.9,14.29
"2001",14.7,14.31
"2002",13.46,14.17
"2003",13.32,13.93
"2004",13.88,13.68
"2005",13.73,13.47
"2006",13.8,13.39
"2007",13.14,13.43
"2008",13.64,13.56
"2009",13.44,13.73
"2010",15.44,13.89
"2011",12.79,14.03
"2012",14.18,14.1
"2013",13.57,14.15
"2014",14.57,14.18
"2015",14.48,14.21
"2016",13.83,14.27
"2017",14.27,14.36
"2018",15.16,14.48
"2019",14.68,14.63
"2020",14.35,14.79
"2021",15.05,14.96